Date,Opponent,Location,Result,Attend
09/09/2010 (Thu),Minnesota,"Louisiana Superdome (New Orleans, LA)",W 14-9,"70,051"
09/20/2010 (Mon),@ San Francisco,"Candlestick Park (San Francisco, CA)",W 25-22,"69,732"
9/26/10,Atlanta,"Louisiana Superdome (New Orleans, LA)","L 27-24, OT","70,051"
10/3/10,Carolina,"Louisiana Superdome (New Orleans, LA)",W 16-14,"70,016"
10/10/10,@ Arizona,"University of Phoenix Stadium (Glendale, AZ)",L 30-20,"62,621"
10/17/10,@ Tampa Bay,"Raymond James Stadium (Tampa, FL)",W 31-6,"51,759"
10/24/10,Cleveland,"Louisiana Superdome (New Orleans, LA)",L 30-17,"70,077"
10/31/10,Pittsburgh,"Louisiana Superdome (New Orleans, LA)",W 20-10,"70,011"
11/7/10,@ Carolina,"Bank of America Stadium (Charlotte, NC)",W 34-3,"73,191"
11/21/10,Seattle,"Louisiana Superdome (New Orleans, LA)",W 34-19,"70,015"
11/25/2010 (Thu),@ Dallas,"Cowboys Stadium (Arlington, TX)",W 30-27,"93,985"
12/5/10,@ Cincinnati,"Paul Brown Stadium (Cincinnati, OH)",W 34-30,"59,963"
12/12/10,St. Louis,"Louisiana Superdome (New Orleans, LA)",W 31-13,"70,015"
12/19/10,@ Baltimore,"M&T Bank Stadium (Baltimore, MD)",L 30-24,"71,432"
12/27/2010 (Mon),@ Atlanta,"Georgia Dome (Atlanta, GA)",W 17-14,"70,144"
1/2/11,Tampa Bay,"Louisiana Superdome (New Orleans, LA)",L 23-13,"70,068"
9/8/13,Atlanta,"Mercedes-Benz Superdome (New Orleans, LA)",W 23-17,"72,348"
9/15/13,@ Tampa Bay,"Raymond James Stadium (Tampa, FL)",W 16-14,"60,870"
9/22/13,Arizona,"Mercedes-Benz Superdome (New Orleans, LA)",W 31-7,"73,057"
09/30/2013 (Mon),Miami,"Mercedes-Benz Superdome (New Orleans, LA)",W 38-17,"73,118"
10/6/13,@ Chicago,"Soldier Field (Chicago, IL)",W 26-18,"62,361"
10/13/13,@ New England,"Gillette Stadium (Foxborough, MA)",L 30-27,"68,756"
10/27/13,Buffalo,"Mercedes-Benz Superdome (New Orleans, LA)",W 35-17,"72,405"
11/3/13,@ NY Jets,"MetLife Stadium (East Rutherford, NJ)",L 26-20,"76,957"
11/10/13,Dallas,"Mercedes-Benz Superdome (New Orleans, LA)",W 49-17,"73,018"
11/17/13,San Francisco,"Mercedes-Benz Superdome (New Orleans, LA)",W 23-20,"73,025"
11/21/2013 (Thu),@ Atlanta,"Georgia Dome (Atlanta, GA)",W 17-13,"70,422"
12/02/2013 (Mon),@ Seattle,"CenturyLink Field (Seattle, WA)",L 34-7,"68,387"
12/8/13,Carolina,"Mercedes-Benz Superdome (New Orleans, LA)",W 31-13,"73,089"
12/15/13,@ St. Louis,"Edward Jones Dome (St. Louis, MO)",L 27-16,"58,442"
12/22/13,@ Carolina,"Bank of America Stadium (Charlotte, NC)",L 17-13,"73,825"
12/29/13,Tampa Bay,"Mercedes-Benz Superdome (New Orleans, LA)",W 42-17,"73,150"
9/9/12,Washington,"Mercedes-Benz Superdome (New Orleans, LA)",L 40-32,"72,180"
9/16/12,@ Carolina,"Bank of America Stadium (Charlotte, NC)",L 35-27,"72,879"
9/23/12,Kansas City,"Mercedes-Benz Superdome (New Orleans, LA)","L 27-24, OT","72,226"
9/30/12,@ Green Bay,"Lambeau Field (Green Bay, WI)",L 28-27,"70,571"
10/7/12,San Diego,"Mercedes-Benz Superdome (New Orleans, LA)",W 31-24,"73,109"
10/21/12,@ Tampa Bay,"Raymond James Stadium (Tampa, FL)",W 35-28,"58,906"
10/28/12,@ Denver,"Sports Authority Field at Mile High (Denver, CO)",L 34-14,"76,832"
11/05/2012 (Mon),Philadelphia,"Mercedes-Benz Superdome (New Orleans, LA)",W 28-13,"73,099"
11/11/12,Atlanta,"Mercedes-Benz Superdome (New Orleans, LA)",W 31-27,"73,126"
11/18/12,@ Oakland,"O.co Coliseum (Oakland, CA)",W 38-17,"56,880"
11/25/12,San Francisco,"Mercedes-Benz Superdome (New Orleans, LA)",L 31-21,"73,147"
11/29/2012 (Thu),@ Atlanta,"Georgia Dome (Atlanta, GA)",L 23-13,"70,514"
12/9/12,@ NY Giants,"MetLife Stadium (East Rutherford, NJ)",L 52-27,"81,437"
12/16/12,Tampa Bay,"Mercedes-Benz Superdome (New Orleans, LA)",W 41-0,"73,096"
12/23/12,@ Dallas,"Cowboys Stadium (Arlington, TX)","W 34-31, OT","92,570"
12/30/12,Carolina,"Mercedes-Benz Superdome (New Orleans, LA)",L 44-38,"73,124"
09/08/2011 (Thu),@ Green Bay,"Lambeau Field (Green Bay, WI)",L 42-34,"70,555"
9/18/11,Chicago,"Mercedes-Benz Superdome (New Orleans, LA)",W 30-13,"73,019"
9/25/11,Houston,"Mercedes-Benz Superdome (New Orleans, LA)",W 40-33,"73,002"
10/2/11,@ Jacksonville,"EverBank Field (Jacksonville, FL)",W 23-10,"62,471"
10/9/11,@ Carolina,"Bank of America Stadium (Charlotte, NC)",W 30-27,"72,679"
10/16/11,@ Tampa Bay,"Raymond James Stadium (Tampa, FL)",L 26-20,"56,590"
10/23/11,Indianapolis,"Mercedes-Benz Superdome (New Orleans, LA)",W 62-7,"73,012"
10/30/11,@ St. Louis,"Edward Jones Dome (St. Louis, MO)",L 31-21,"57,179"
11/6/11,Tampa Bay,"Mercedes-Benz Superdome (New Orleans, LA)",W 27-16,"73,043"
11/13/11,@ Atlanta,"Georgia Dome (Atlanta, GA)","W 26-23, OT","70,359"
11/28/2011 (Mon),NY Giants,"Mercedes-Benz Superdome (New Orleans, LA)",W 49-24,"73,068"
12/4/11,Detroit,"Mercedes-Benz Superdome (New Orleans, LA)",W 31-17,"73,042"
12/11/11,@ Tennessee,"LP Field (Nashville, TN)",W 22-17,"69,143"
12/18/11,@ Minnesota,"Hubert H. Humphrey Metrodome (Minneapolis, MN)",W 42-20,"62,623"
12/26/2011 (Mon),Atlanta,"Mercedes-Benz Superdome (New Orleans, LA)",W 45-16,"73,084"
1/1/12,Carolina,"Mercedes-Benz Superdome (New Orleans, LA)",W 45-17,"73,065"
9/13/09,Detroit,"Louisiana Superdome (New Orleans, LA)",W 45-27,"69,719"
9/20/09,@ Philadelphia,"Lincoln Financial Field (Philadelphia, PA)",W 48-22,"69,144"
9/27/09,@ Buffalo,"Ralph Wilson Stadium (Orchard Park, NY)",W 27-7,"70,261"
10/4/09,NY Jets,"Louisiana Superdome (New Orleans, LA)",W 24-10,"70,009"
10/18/09,NY Giants,"Louisiana Superdome (New Orleans, LA)",W 48-27,"70,011"
10/25/09,@ Miami,"Sun Life Stadium (Miami Gardens, FL)",W 46-34,"66,689"
11/02/2009 (Mon),Atlanta,"Louisiana Superdome (New Orleans, LA)",W 35-27,"70,088"
11/8/09,Carolina,"Louisiana Superdome (New Orleans, LA)",W 30-20,"70,011"
11/15/09,@ St. Louis,"Edward Jones Dome (St. Louis, MO)",W 28-23,"59,858"
11/22/09,@ Tampa Bay,"Raymond James Stadium (Tampa, FL)",W 38-7,"62,720"
11/30/2009 (Mon),New England,"Louisiana Superdome (New Orleans, LA)",W 38-17,"70,768"
12/6/09,@ Washington,"FedExField (Landover, MD)","W 33-30, OT","84,520"
12/13/09,@ Atlanta,"Georgia Dome (Atlanta, GA)",W 26-23,"68,930"
12/19/2009 (Sat),Dallas,"Louisiana Superdome (New Orleans, LA)",L 24-17,"70,213"
12/27/09,Tampa Bay,"Louisiana Superdome (New Orleans, LA)","L 20-17, OT","70,021"
1/3/10,@ Carolina,"Bank of America Stadium (Charlotte, NC)",L 23-10,"73,047"
9/7/14,@ Atlanta,"Georgia Dome (Atlanta, GA)","L 37-34, OT","70,706"
9/14/14,@ Cleveland,"FirstEnergy Stadium (Cleveland, OH)",L 26-24,"67,407"
9/21/14,Minnesota,"Mercedes-Benz Superdome (New Orleans, LA)",W 20-9,"73,005"
9/28/14,@ Dallas,"AT&T Stadium (Arlington, TX)",L 38-17,"91,176"
10/5/14,Tampa Bay,"Mercedes-Benz Superdome (New Orleans, LA)","W 37-31, OT","73,004"
10/19/14,@ Detroit,"Ford Field (Detroit, MI)",L 24-23,"63,271"
10/26/14,Green Bay,"Mercedes-Benz Superdome (New Orleans, LA)",W 44-23,"73,146"
10/30/2014 (Thu),@ Carolina,"Bank of America Stadium (Charlotte, NC)",W 28-10,"73,663"
11/9/14,San Francisco,"Mercedes-Benz Superdome (New Orleans, LA)","L 27-24, OT","73,129"
11/16/14,Cincinnati,"Mercedes-Benz Superdome (New Orleans, LA)",L 27-10,"73,073"
11/24/2014 (Mon),Baltimore,"Mercedes-Benz Superdome (New Orleans, LA)",L 34-27,"73,373"
11/30/14,@ Pittsburgh,"Heinz Field (Pittsburgh, PA)",W 35-32,"61,916"
12/7/14,Carolina,"Mercedes-Benz Superdome (New Orleans, LA)",L 41-10,"73,006"
12/15/2014 (Mon),@ Chicago,"Soldier Field (Chicago, IL)",W 31-15,"60,996"
12/21/14,Atlanta,"Mercedes-Benz Superdome (New Orleans, LA)",L 30-14,"73,164"
12/28/14,@ Tampa Bay,"Raymond James Stadium (Tampa, FL)",W 23-20,"59,952"
